"Position [1.0, 0.0, 0.0] (m)-Assembly 1.channel: int_1 [In-place 1]","Mass Flow Rate-Assembly 1.channel: int_1 [In-place 1] (kg/s)","Position [1.0, 0.0, 0.0] (m)-Assembly 1.channel: int_2 [In-place 2]","Mass Flow Rate-Assembly 1.channel: int_2 [In-place 2] (kg/s)"
0.035565243320360686,-7.83613245403103E-8,0.026480232085642926,1.8760144371299248E-7
0.03556961395809947,-2.7611676500782778E-8,0.026481393456039073,1.502420445831376E-7
0.03557350761826336,-1.0710020603710291E-7,0.026483802811685223,7.248383582236784E-8
0.035566096969250456,-7.610253049961102E-8,0.02648838699945698,8.615528734878808E-9
0.03556915854634286,-2.1625682222747855E-7,0.026482549231595234,3.6290252580784E-8
0.0355818150196117,-4.5606171283907315E-7,0.026476663019531287,1.3323348468929908E-7
0.03560728190794072,-2.3053317477206292E-7,0.02647062356451396,4.245882578857163E-8
0.035629726338513676,-2.477475220530323E-7,0.0264721624887649,1.630154287113328E-7
0.0355708260340656,-2.7169772920387913E-7,0.026454025955970968,2.2924363918264135E-7
0.035589244871161996,-2.764618898254412E-7,0.026456013455721503,1.6135889779889112E-7
0.0356064139815299,-5.046023261456867E-7,0.026431470703438695,3.5383339991312823E-7
0.03558944258341744,-1.1559743029465608E-7,0.026394866233226427,1.9376663829007157E-7
0.03559029355260335,-4.6268382902781013E-7,0.026418708624969138,6.564252430507622E-8
0.03558907517476463,-3.788995854847599E-7,0.02646145652625898,3.7036031130810443E-7
0.035596631046351586,-8.088903769021272E-7,0.02644115195627171,2.358950013103822E-7
0.035579725075445635,-2.583266507372173E-7,0.0264622643757584,5.93301422213699E-7
0.035591581533803554,-1.0696209074012586E-7,0.02645965168441048,4.093921859293914E-7
0.03561023515566464,-6.153017011456541E-7,0.02640166250600942,3.933171228709398E-7
0.03565612901459143,-3.0178057386365253E-7,0.026453319855183226,4.617112097093923E-7
0.035650728003723785,-3.9297617604461266E-7,0.026435863744629914,2.6547692755229946E-7
0.03568616448417992,-3.437891962221329E-7,0.02642079704059247,3.6562605032486317E-7
0.03573671878466843,-2.0138617173870443E-7,0.026434272340366594,3.7165662547522516E-7
0.03566097548595611,-5.271152758723474E-7,0.02643019185204067,1.9421511865402863E-7
0.035630148138475495,-4.97616838401882E-7,0.026450223934168498,3.0233522352318687E-7
0.035637325931229175,-5.738496042795305E-7,0.026412210646839865,7.925794420771126E-8
0.03562278502170262,-5.251415018392436E-7,0.026433576438727138,2.2218887352210004E-7
0.035601796870651035,-4.197703162844846E-7,0.026434102343609298,4.1514854842716886E-7
0.03561289730888484,-4.681661209815502E-7,0.0264026831626122,5.870198265256477E-7
0.03563745813894875,-3.4863433029386215E-7,0.026430734470457486,6.275881787587423E-7
0.03562187485967468,-6.564284262822184E-7,0.02639960146501356,3.937477970339387E-7
0.03565583881862782,-3.7696733556913387E-7,0.026419551124931138,3.634108054484386E-7
0.035639838300011946,-5.777818614660646E-7,0.02635884039926964,1.4368762890626385E-7
0.03565627986540056,-5.598662937700283E-7,0.026387259641209616,1.6667046054408274E-7
0.035659093625873085,-5.707808554689109E-7,0.026379353848422132,2.664409350927599E-7
0.03563026071809861,-6.410667197087605E-7,0.02640369383240835,4.1388648241991177E-7
0.03563646220023385,-2.699565300190443E-7,0.026390973143061623,3.7308922173906467E-7
0.03561358096786604,-4.2727197069325484E-7,0.026409042811097225,4.347078288446937E-7
0.035669715006713607,-2.0897095964755863E-7,0.02636691250372124,2.674844665762066E-7
0.03564008054774342,-2.0960916913281835E-7,0.026379484095876236,4.054434725730971E-7
0.03568007602825726,-4.5997103370609693E-7,0.026373587178916195,4.2735842953334213E-7
0.0356591065488876,-4.137039297802403E-7,0.0263461196514149,4.799811677003163E-7
0.03565549917279776,-4.4152611167191935E-7,0.02633838593269126,2.576384758867789E-7
0.035704218086118976,-2.4082527261271025E-7,0.02631421512666093,6.990001111262245E-8
0.035689258394427215,-4.969022597833828E-7,0.026289827942816896,1.764007748761287E-7
0.035678360464505614,-6.451223271142226E-7,0.026331591221517476,1.3678446464382432E-7
0.03567227556564667,-5.411976076175051E-7,0.02641680269206588,3.8744184394090553E-7
0.035682330319932155,-4.991777586837998E-7,0.02638961506963284,2.4438443801955145E-7
0.035647240382069505,-6.659751647930534E-7,0.02639762544130159,5.606814283964923E-7
0.0356807149597026,-8.393873258683016E-7,0.026365567017924522,2.5471081244177185E-7
0.03571154206276181,-1.1727940574246531E-7,0.026351837519112742,3.770328760310804E-7
0.03573733155489652,-1.9571453435673902E-7,0.026364794422454037,7.279109013325069E-7
0.035708142812641945,-3.2925703408182017E-7,0.026340250410239244,4.150018355630891E-7
0.035717435805182746,-8.616612490186526E-7,0.026366189046418322,3.4182235708613007E-7
0.0357869967974542,-3.7638679373230843E-7,0.026375316670681534,4.937390372106165E-7
0.035817259853687666,-9.732959682651199E-8,0.026409324471128516,3.6142944281891687E-7
0.035690861251973044,-4.6238497475314944E-7,0.026369443507123256,4.719504147487896E-7
0.03571733643602969,-3.398300236767682E-7,0.02635182898440179,4.312940120598796E-7
0.035710111250066436,-7.327981279559026E-7,0.02634063460622967,2.3498884615946736E-7
0.03575525511720152,-4.939342375109845E-7,0.0263108917367414,3.74231419186799E-8
0.03576078974853967,-6.091244131312123E-8,0.02629088083440022,1.425575959501657E-7
0.035754388401721515,-7.121497560547141E-7,0.026266388180221423,1.338962931640708E-7
0.03572271389838804,-5.323799996403977E-7,0.02634216492264059,3.930291256892815E-7
0.03576246687804285,-2.2578366554171225E-7,0.02639250087593923,2.2387902731679787E-7
0.03578847259328499,-2.354449861741159E-7,0.02636841060895209,3.806615893608978E-7
0.03570911285859583,-5.190143497202371E-7,0.02636591623608244,4.0606570905765693E-7
0.03571071289653406,-5.142894679011079E-7,0.026347467518065694,2.5986588525483967E-7
0.03573496858510222,-3.397461227905296E-7,0.026334094521359167,5.407621301856125E-7
0.03570963359529691,-5.119444494994241E-7,0.02633341164893602,3.9779953908691823E-7
0.03568203237038016,-4.708519156793045E-7,0.02633051770884102,3.095108809247904E-7
0.03568761809590268,-7.946254072521697E-7,0.026335392153338473,6.215551024979504E-7
0.03570127924143421,-2.839852868419257E-7,0.026260552479206077,1.9984048549304134E-7
0.03572670797706976,-5.297686129779322E-7,0.02623462063421258,8.534548356919913E-8
0.035716677788177394,-3.594450674881955E-7,0.026166198154694988,4.175932986072439E-7
0.0357396232302851,-5.152859330337378E-7,0.026142322252450466,1.2045428832152538E-7
0.03571019826778431,-5.383070060815953E-7,0.0262124877726134,2.0265954958631482E-7
0.0357424253089215,-8.388552714677644E-7,0.02618649268436635,1.7971812837913603E-7
0.03573978610047156,-5.957417101853935E-7,0.026162860258262217,1.1457571957862456E-7
0.03593436002341705,-7.737001794794196E-8,0.02630989554637181,4.681789107507939E-7
0.03593652687409786,-6.379749351026476E-8,0.0262889788558054,4.2831464952541864E-7
0.03593051445123002,-8.622915714795454E-8,0.026320154749072656,5.842191512783756E-7
0.03593402988561332,-1.509773106533885E-8,0.02631301865450073,6.767584750377864E-7
0.03592352153237711,-2.767991702512518E-7,0.026294070890370898,2.6419706955493893E-7
0.035934451397571,-8.57598934089765E-8,0.02626992537933751,3.9809111740396474E-7
0.0357431984326974,-5.217439138505142E-7,0.026278077872993966,4.891024332209781E-7
0.03577747648925276,-5.83951532462379E-7,0.02631089859771379,4.953545271746407E-7
0.0357671203894638,-3.153820671286667E-7,0.026241226876058368,1.1167394120548124E-7
0.035740410089097556,-7.55584437683865E-7,0.026255980167765536,2.1800262572924112E-7
0.035841903171835506,-3.4087605627064477E-7,0.026280517272820363,3.9020102349240915E-7
0.03586870639843927,-8.026214715073365E-8,0.026217298621430424,2.9647212684835722E-8
0.03582852087526278,-3.1055492399900686E-7,0.026319944031145084,4.674195110965229E-7
0.03581103954134051,-4.7669166747255076E-7,0.02630523835306317,4.843807346333051E-7
0.035781176721697595,-7.373944299615687E-7,0.026304462849975133,3.4843813523366407E-7
0.03579758500883658,-5.208952416069224E-7,0.026317298369101797,4.107467930225539E-7
0.035748465261619865,-7.995359965207172E-7,0.02629580443423133,4.047897448344884E-7
0.03576359211599278,-4.999693032914365E-7,0.02630760994635205,4.939608970744302E-7
0.035858560283096315,-6.729702590746456E-7,0.026177760354355817,1.3227887052380538E-7
0.03588722647841118,-9.364862307847943E-7,0.026162222001872577,4.6465038394671865E-7
0.035912599221997125,-2.5029854100466764E-7,0.026156656657124085,1.5142468612339144E-7
0.03588647946124044,-5.232859052739514E-7,0.026139190659334358,1.7538452823373518E-7
0.03590529278521853,-8.109054050464692E-8,0.026124405136140828,6.984493694517369E-8
0.0358861156242975,-2.00838712771656E-7,0.026126942153614115,4.80615760523051E-8
0.035816598621798236,-2.7503546107254806E-7,0.026303224168201404,3.032532163160795E-7
0.03575768166047382,-5.99330348904914E-7,0.026286227330514295,4.833322009289986E-7
0.03577078568736124,-5.83983762680873E-7,0.026252728838308446,5.153873985364044E-7
0.03584115659778289,-1.3774658214060764E-7,0.026233807373517347,6.913140282449604E-7
0.03592917793129459,-3.51525727637636E-7,0.02626348803694973,4.5463576725524035E-7
0.03591975724636808,-3.620048403263354E-7,0.026281398618244745,4.623272502612963E-7
0.035904059891068874,-3.522844735925901E-7,0.02627377138663256,6.913728611834813E-7
0.03586276642452502,-2.893040971230221E-7,0.026206382438829966,3.3071100347115134E-7
0.03588542489930493,-3.1736607297716546E-7,0.02622616989111592,3.2870457289391197E-7
0.03584249427053368,-5.175700152904028E-7,0.026253565307109893,5.114988539389742E-7
0.035809968190248696,-6.070339964026061E-7,0.02622935851199598,7.749687256364268E-7
0.03578153554975269,-4.066311589667748E-7,0.026281671732537138,4.7604626729480515E-7
0.03579368714179997,-5.397987479227595E-7,0.026235453189547186,3.8315431538649136E-7
0.03577405528075953,-7.374203505605692E-7,0.02626940798962728,9.413578254680033E-7
0.03581097939735759,-5.215576948103262E-7,0.026250351209296047,3.043510616862477E-7
0.03583544635068351,-6.106333216848725E-7,0.026145049711650152,3.996260034000443E-7
0.03577631003823694,-2.907023883835791E-7,0.026123496282436116,2.0585095228398131E-7
0.03580141599672047,-4.994253686163574E-7,0.026141867745412266,4.5893079914094415E-7
0.03581200888333192,-3.4319901942581055E-7,0.026121064626191896,2.0432153746696713E-7
0.03578459414584784,-5.312226107889728E-7,0.026124274045826054,1.1570148217288079E-7
0.03580309193468671,-5.226509642852761E-7,0.026121619486262678,2.2616974959532854E-8
0.035824400560006915,-6.769735705347557E-7,0.02611591001562967,4.9510632038618496E-8
0.03580356934562787,-5.795455422230589E-7,0.026115946338677292,5.4135568916535703E-8
0.035790312065468954,-5.482877440954326E-7,0.026176196195359075,5.406196805779473E-7
0.03577390162659086,-3.6788190982406377E-7,0.026143197528440184,5.929175017627131E-7
0.03591527298448274,-4.00769181396754E-7,0.02615383099474134,1.1207600891793845E-6
0.0359100489057325,-7.308104841285967E-7,0.02617605345809674,5.721835236727202E-7
0.035825586572461966,-5.220106231718091E-7,0.026245150587114303,4.4574269963959523E-7
0.035847901103320486,-7.213039339148963E-7,0.026215096727360554,4.508864321906003E-7
0.035877149483137395,-2.6821018650480255E-7,0.026189756196825394,4.273359479611827E-7
0.035856374199498685,-2.658326536675304E-7,0.026198741394121032,5.18439776442392E-7
0.035858345042326635,-3.912064414635097E-7,0.02624414180335751,6.454175718317856E-7
0.03582456939080548,-7.980170835253375E-7,0.026219945276940236,3.270994568538299E-7
0.03583470599881873,-7.471267622349842E-7,0.026195570808214594,5.782069933957246E-7
0.03583957886443939,-7.806301027812879E-7,0.02620109538551587,1.283426200870963E-7
0.035862684999197765,-3.412390583434899E-7,0.026229435256889436,3.315181515972654E-7
0.03589859856047044,-3.6980674167352845E-7,0.026253444300227337,7.63720606755669E-7
0.03587657850368912,-7.933487609079748E-7,0.026191283242250833,3.7230554994494014E-7
0.03587913398370173,-3.0772724812777597E-7,0.026213564105116556,6.116623012530908E-7
0.03585529371856969,-5.289982709655305E-7,0.02620787496650228,6.074300245018094E-7
0.035901497075710616,-7.969937314555864E-7,0.026178925744502247,2.885274170694174E-7
0.03588435535215698,-5.996408845021506E-7,0.026234985674760906,3.4269487514393404E-7
0.03586520920140709,-5.124151698510104E-7,0.026191016073102234,5.168072334527096E-7
0.039948073033733655,-6.961789811299468E-9,0.02622190670115059,5.042094244345208E-7
0.03991739594534852,-7.137792579214874E-8,0.02620356040050435,8.183821478269238E-7
0.03994071423079519,-3.187026891282585E-7,0.026169703344027954,5.105823106532625E-7
0.03987119946176195,-2.133313046215335E-7,0.025432820520698982,1.9069654300096772E-8
0.03984719604507448,-2.387572806128446E-7,0.025437098419009974,1.9030370168593436E-8
0.039826258556126155,-8.90236577788528E-8,0.02543336306621482,7.726248441031203E-8
0.03994390206005797,-2.640913976392767E-7,0.025427161976061808,7.321884254452016E-8
0.03994451894204098,-2.2195652604750649E-7,0.02543012985198533,1.8830701264960226E-7
0.03991154729120469,-3.5535276765585877E-7,0.0254296496498462,6.282050435402198E-8
0.039875228846286824,-6.715487188557745E-7,0.025430587428147636,1.545097774169335E-7
0.03994434318715179,-3.014673097823106E-7,0.0254174843802312,1.8414668545574386E-7
0.03994059420926363,-4.959659918313264E-7,0.025408247002800564,4.25098505729693E-7
0.03990401265033093,-3.62636569661845E-7,0.025411737333805192,3.874837659623154E-7
0.039927550944863416,-4.1784142013057135E-7,0.025404499879060335,2.1204151323672704E-7
0.039809313832993645,-1.8617200225889974E-7,0.025401301317360056,2.473009601544618E-7
0.03983310056397781,-4.7680879333711346E-7,0.025420230668111235,1.8952644609271374E-7
0.03981311715344618,-5.680154799847514E-7,0.025412544649752074,2.638438445501379E-7
0.0397897158204581,-2.40074768953491E-7,0.02533660482507589,1.2415343064731132E-7
0.03989628492788145,-2.0262825728423195E-7,0.025370093773636197,5.742476218983938E-7
0.0399362246721123,-1.049839966071886E-7,0.02534136270299012,3.721006862633658E-7
0.039945100634181364,-1.5324654611958977E-7,0.02538575250081952,8.320421329699457E-8
0.03992193044662809,-9.06244906673237E-7,0.02536310621534666,1.6409865111199906E-7
0.03984140417241596,-3.3492750617369893E-7,0.025389554962139155,6.283873403845064E-7
0.03983404359768464,-3.4717172070486413E-7,0.025380277618693072,4.3794383941531123E-7
0.03981369678294077,-2.9348461794143077E-7,0.025386629550020755,4.644365390049643E-7
0.039773883718107604,-5.610219204754685E-7,0.025409953546958977,4.844008572035818E-7
0.039765970852941604,-8.629451286878975E-8,0.02537897570225021,4.816056957679393E-7
0.03976372542827858,-5.973137007231344E-8,0.025386163683014225,2.0057871097378666E-7
0.039769320589105775,-6.66253114900428E-8,0.02536877562230304,8.097519099692363E-8
0.0397752530942208,-1.3561310652221437E-7,0.025344318827966384,2.514880179660395E-7
0.03977241353620302,-4.2753603679557273E-7,0.025376917266056367,5.21532456332352E-7
0.039889757283630145,-5.667637879014364E-7,0.025353845171244258,4.5351185917752446E-7
0.039907751310167806,-3.396490626528248E-7,0.02535488254831889,4.540662530416739E-7
0.03988934539824106,-5.18665217441594E-7,0.025309704316319168,1.3362928541482688E-7
