cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
        74, 7.000000216E-03,-3.859291319E-03,-9.814931545E-04,-4.449165821E+00
        75, 7.000000216E-03,-3.878025105E-03,-9.839745471E-04,-4.965405464E+00
        76, 7.000000216E-03,-3.829299938E-03,-9.288428701E-04,-1.078890562E+00
        77, 7.000000216E-03,-3.840042278E-03,-9.311850299E-04,-2.728298664E+00
        78, 7.000000216E-03,-3.852933180E-03,-9.339955286E-04,-3.738896132E+00
        79, 7.000000216E-03,-3.868402448E-03,-9.373681969E-04,-4.423613071E+00
        80, 7.000000216E-03,-3.886965336E-03,-9.414154338E-04,-4.946610928E+00
        81, 7.000000216E-03,-3.847536165E-03,-8.846928831E-04,-9.835949540E-01
        82, 7.000000216E-03,-3.857336938E-03,-8.890368626E-04,-2.615796328E+00
        83, 7.000000216E-03,-3.869097680E-03,-8.942497661E-04,-3.662456989E+00
        84, 7.000000216E-03,-3.883210476E-03,-9.005052270E-04,-4.355407238E+00
        85, 7.000000216E-03,-3.900146112E-03,-9.080117452E-04,-4.876149654E+00
        86, 7.000000216E-03,-4.277592059E-03,-8.851945167E-04,-1.101376295E+00
        87, 7.000000216E-03,-4.268073477E-03,-8.906421135E-04,-2.807837486E+00
        88, 7.000000216E-03,-4.256651737E-03,-8.971792413E-04,-3.840164661E+00
        89, 7.000000216E-03,-4.242945462E-03,-9.050237713E-04,-4.531056881E+00
        90, 7.000000216E-03,-4.226497374E-03,-9.144372889E-04,-5.048976421E+00
        91, 7.000000216E-03,-4.295827355E-03,-9.288018919E-04,-1.028061867E+00
        92, 7.000000216E-03,-4.285364412E-03,-9.310537134E-04,-2.721417427E+00
        93, 7.000000216E-03,-4.272809252E-03,-9.337558877E-04,-3.788901806E+00
        94, 7.000000216E-03,-4.257743247E-03,-9.369986365E-04,-4.493158340E+00
        95, 7.000000216E-03,-4.239663482E-03,-9.408898186E-04,-5.010248184E+00
        96, 7.000000216E-03,-3.960653674E-03,-8.782201912E-04,-5.417224884E+00
        97, 7.000000216E-03,-3.985238727E-03,-8.599727298E-04,-5.392537117E+00
        98, 7.000000216E-03,-4.305166658E-03,-9.749885066E-04,-1.068128943E+00
        99, 7.000000216E-03,-4.294317681E-03,-9.736130014E-04,-2.757838011E+00
       100, 7.000000216E-03,-4.281299189E-03,-9.719625232E-04,-3.802739859E+00
       101, 7.000000216E-03,-4.265676253E-03,-9.699818911E-04,-4.502267361E+00
       102, 7.000000216E-03,-4.246928729E-03,-9.676050977E-04,-5.025455952E+00
